run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,1,247,221,27,1;2;3;4,0,0,0,28,4.0,0.30335674,0.03923026,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,2,220,216,5,1;2;3;4,0,0,11,17,3.6,0.43750313,0.03422063,3;3;4;4;3;3;4;4;3;4;3;4;4;4;3;3;4;4;3;4;3;3;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,3,215,212,4,1;2;3;4,0,0,0,28,4.0,0.29901517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,4,211,208,4,1;2;3;4,0,0,0,28,4.0,0.3002023,0.04601776,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,5,207,206,2,1;2,0,28,0,0,2.0,0.53417823,0.0313614,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,6,205,154,52,1;2;3;4,0,0,0,28,4.0,0.30729066,0.05066783,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,7,153,125,29,1;2;3;4,0,0,0,28,4.0,0.33832484,0.05132992,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,8,124,0,125,1;2;3;4,0,0,0,28,4.0,0.32124318,0.05541816,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,1,247,218,30,1;2;3;4,0,0,0,28,4.0,0.31057244,0.03906791,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,2,217,216,2,1;2,0,28,0,0,2.0,0.5324234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,3,215,209,7,1;2;3;4,0,0,0,28,4.0,0.33281139,0.04288768,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,4,208,179,30,1;2;3;4,0,0,0,28,4.0,0.31990129,0.04835817,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,5,178,126,53,1;2;3;4,0,0,0,28,4.0,0.32533133,0.05143226,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,6,125,2,124,1;2;3;4,0,0,0,28,4.0,0.31577297,0.05584645,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,7,1,0,2,1;2,0,28,0,0,2.0,0.57491831,0.09211823,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,1,247,224,24,1;2;3;4,0,0,0,28,4.0,0.29444,0.03947475,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,2,223,217,7,1;2;3;4,0,0,0,28,4.0,0.33049538,0.04044322,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,3,216,210,7,1;2;3;4,0,0,0,28,4.0,0.33296886,0.04297916,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,4,209,127,83,1;2;3;4,0,0,0,28,4.0,0.31214469,0.05099155,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,5,126,3,124,1;2;3;4,0,0,0,28,4.0,0.31583455,0.05584971,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,6,2,0,3,1;2;3,0,0,28,0,3.0,0.41309412,0.08714244,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,1,247,246,2,1;2,0,28,0,0,2.0,0.52873996,0.02502841,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,2,245,5,241,1;2;3;4,0,0,0,28,4.0,0.3134573,0.05105427,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,3,4,3,2,1;2,0,28,0,0,2.0,0.54412599,0.03985158,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,4,2,0,3,1;2;3,0,0,28,0,3.0,0.41309412,0.08714244,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,1,247,222,26,1;2;3;4,0,0,0,28,4.0,0.31258093,0.03856575,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,2,221,216,6,1;2;3;4,0,0,17,11,3.4,0.37533059,0.03805457,3;4;3;4;4;4;4;3;4;3;3;3;3;4;4;3;3;3;4;3;3;3;3;3;3;4;4;3
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,3,215,212,4,1;2;3;4,0,0,0,28,4.0,0.29901517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,4,211,208,4,1;2;3;4,0,0,0,28,4.0,0.3002023,0.04601776,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,5,207,206,2,1;2,0,28,0,0,2.0,0.53417823,0.0313614,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,6,205,204,2,1;2,0,28,0,0,2.0,0.53443406,0.03169889,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
