run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,250,28,9,2,125,27.77777777777778,10,9,1848,5152,0.264,66.0,0.0,184.0,3.370009,0.37209,94.360265,3.511905,0,56,11,185,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,250,28,8,2,124,31.25,10,8,1848,5152,0.264,66.0,0.0,184.0,3.240626,0.362335,90.737538,3.25,0,84,0,140,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,250,28,7,2,124,35.714285714285715,10,7,1792,5208,0.256,64.0,0.0,186.0,2.527873,0.324175,70.780439,3.571429,0,28,28,140,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K10_sw9_lam1.0_kmax4,10,9,1.0,250,28,5,2,241,50.0,10,5,1820,5180,0.26,65.0,0.0,185.0,2.328313,0.216549,65.192753,2.6,0,84,28,28,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K15_sw2_lam1.0_kmax4,15,2,1.0,250,28,13,2,83,19.23076923076923,15,13,1904,5096,0.272,68.0,0.0,182.0,4.888655,0.55829,136.88233,3.491758,0,84,17,263,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K15_sw3_lam1.0_kmax4,15,3,1.0,250,28,11,2,124,22.727272727272727,15,11,1876,5124,0.268,67.0,0.0,183.0,4.337676,0.496667,121.454922,3.412338,0,84,13,211,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K15_sw5_lam1.0_kmax4,15,5,1.0,250,28,12,2,124,20.833333333333332,15,12,1848,5152,0.264,66.0,0.0,184.0,4.231946,0.563151,118.494495,3.75,0,28,28,280,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K15_sw9_lam1.0_kmax4,15,9,1.0,250,28,10,2,193,25.0,15,10,1876,5124,0.268,67.0,0.0,183.0,4.16263,0.411439,116.553637,3.071429,0,84,92,104,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K20_sw2_lam1.0_kmax4,20,2,1.0,250,28,18,2,63,13.88888888888889,20,18,1960,5040,0.28,70.0,0.0,180.0,6.884106,0.784972,192.754964,3.486111,0,112,35,357,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K20_sw3_lam1.0_kmax4,20,3,1.0,250,28,15,2,83,16.666666666666668,20,15,1932,5068,0.276,69.0,0.0,181.0,5.727096,0.678521,160.358687,3.502381,0,84,41,295,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K20_sw5_lam1.0_kmax4,20,5,1.0,250,28,14,2,124,17.857142857142858,20,14,1876,5124,0.268,67.0,0.0,183.0,5.107022,0.637625,142.996626,3.561224,0,28,116,248,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K20_sw9_lam1.0_kmax4,20,9,1.0,250,28,13,2,193,19.23076923076923,20,13,1876,5124,0.268,67.0,0.0,183.0,5.407362,0.517253,151.406145,3.054945,0,140,64,160,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K25_sw2_lam1.0_kmax4,25,2,1.0,250,28,23,2,51,10.869565217391305,25,23,2016,4984,0.288,72.0,0.0,178.0,8.915492,0.98862,249.633772,3.47205,0,140,60,444,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K25_sw3_lam1.0_kmax4,25,3,1.0,250,28,20,2,83,12.5,25,20,1960,5040,0.28,70.0,0.0,180.0,7.685582,0.890891,215.196306,3.426786,0,112,97,351,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K25_sw5_lam1.0_kmax4,25,5,1.0,250,28,17,2,105,14.705882352941176,25,17,1932,5068,0.276,69.0,0.0,181.0,6.142865,0.790987,172.000221,3.655462,0,28,108,340,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K25_sw9_lam1.0_kmax4,25,9,1.0,250,28,17,2,124,14.705882352941176,25,17,1904,5096,0.272,68.0,0.0,182.0,6.888407,0.700033,192.875404,3.189076,0,140,106,230,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
sweep_K30_sw2_lam1.0_kmax4,30,2,1.0,250,28,26,2,51,9.615384615384615,30,26,2072,4928,0.296,74.0,0.0,176.0,10.84997,1.060017,303.799153,3.23489,0,252,53,423,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K30_sw3_lam1.0_kmax4,30,3,1.0,250,28,24,2,82,10.416666666666666,30,24,1960,5040,0.28,70.0,0.0,180.0,9.330269,1.06896,261.247546,3.355655,0,168,97,407,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K30_sw5_lam1.0_kmax4,30,5,1.0,250,28,21,2,105,11.904761904761905,30,21,1960,5040,0.28,70.0,0.0,180.0,7.696387,0.969699,215.498833,3.569728,0,28,197,363,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
