run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,0,block_0,66,184,0.264,0.73528033,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,1,block_1,66,184,0.264,0.87118889,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,2,block_2,66,184,0.264,1.61124028,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,3,block_3,66,184,0.264,1.80467331,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,4,block_4,66,184,0.264,0.93469511,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,5,block_5,66,184,0.264,1.09052175,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,6,block_6,66,184,0.264,2.07114931,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,7,block_7,66,184,0.264,0.8794386,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,8,block_8,66,184,0.264,1.04651265,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,9,block_9,66,184,0.264,1.1178079,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,10,block_10,66,184,0.264,0.80830544,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,11,block_11,66,184,0.264,0.99422167,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,12,block_12,66,184,0.264,1.01511567,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,13,block_13,66,184,0.264,1.28189256,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,14,block_14,66,184,0.264,0.96812251,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,15,block_15,66,184,0.264,0.74880371,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,16,block_16,66,184,0.264,1.27264059,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,17,block_17,66,184,0.264,0.81731302,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,18,block_18,66,184,0.264,0.93185543,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,19,block_19,66,184,0.264,1.39867268,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,20,block_20,66,184,0.264,0.8352891,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,21,block_21,66,184,0.264,0.87948373,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,22,block_22,66,184,0.264,0.76099478,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,23,block_23,66,184,0.264,1.67191216,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,24,block_24,66,184,0.264,1.47396609,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,25,block_25,66,184,0.264,1.25993778,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,26,block_26,180,70,0.72,1.91700525,2;4;4;4;4;2;4;1;1
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,27,block_27,66,184,0.264,1.3635271,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,0,block_0,66,184,0.264,1.47056066,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,1,block_1,66,184,0.264,1.60646922,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,2,block_2,66,184,0.264,2.34652061,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,3,block_3,66,184,0.264,2.53995365,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,4,block_4,66,184,0.264,1.66997544,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,5,block_5,66,184,0.264,1.82580209,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,6,block_6,66,184,0.264,2.80642964,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,7,block_7,66,184,0.264,1.61471893,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,8,block_8,66,184,0.264,1.78179298,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,9,block_9,66,184,0.264,1.85308824,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,10,block_10,66,184,0.264,1.54358577,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,11,block_11,66,184,0.264,1.72950201,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,12,block_12,66,184,0.264,1.750396,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,13,block_13,66,184,0.264,2.01717289,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,14,block_14,66,184,0.264,1.70340284,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,15,block_15,66,184,0.264,1.48408404,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,16,block_16,66,184,0.264,2.00792092,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,17,block_17,66,184,0.264,1.55259335,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,18,block_18,66,184,0.264,1.66713576,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,19,block_19,66,184,0.264,2.13395302,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,20,block_20,66,184,0.264,1.57056943,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,21,block_21,66,184,0.264,1.61476406,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,22,block_22,66,184,0.264,1.49627511,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,23,block_23,66,184,0.264,2.40719249,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,24,block_24,66,184,0.264,2.20924642,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,25,block_25,66,184,0.264,1.99521811,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,26,block_26,66,184,0.264,2.6874356,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,27,block_27,66,184,0.264,2.09880743,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,0,block_0,66,184,0.264,2.94112133,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,1,block_1,66,184,0.264,3.07702989,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,2,block_2,66,184,0.264,3.81708128,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,3,block_3,66,184,0.264,4.01051431,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,4,block_4,66,184,0.264,3.14053611,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,5,block_5,66,184,0.264,3.29636275,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,6,block_6,66,184,0.264,4.2769903,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,7,block_7,66,184,0.264,3.0852796,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,8,block_8,66,184,0.264,3.25235365,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,9,block_9,66,184,0.264,3.3236489,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,10,block_10,66,184,0.264,3.01414643,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,11,block_11,66,184,0.264,3.20006267,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,12,block_12,66,184,0.264,3.22095666,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,13,block_13,66,184,0.264,3.48773355,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,14,block_14,66,184,0.264,3.17396351,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,15,block_15,66,184,0.264,2.9546447,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,16,block_16,66,184,0.264,3.47848159,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,17,block_17,66,184,0.264,3.02315401,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,18,block_18,66,184,0.264,3.13769643,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,19,block_19,66,184,0.264,3.60451368,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,20,block_20,66,184,0.264,3.04113009,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,21,block_21,66,184,0.264,3.08532472,2;4;3;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,22,block_22,66,184,0.264,2.96683578,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,23,block_23,66,184,0.264,3.87775315,2;4;4;4;4;2;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,24,block_24,66,184,0.264,3.67980709,2;4;4;4;4;2;4;4;4
