run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,0,249,248,2,1;2,0,28,0,0,2.0,0.15389524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,1,247,221,27,1;2;3;4,0,0,0,28,4.0,0.10891229,0.03923026,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,2,220,216,5,1;2;3;4,0,0,11,17,3.6,0.13750313,0.03422063,3;3;4;4;3;3;4;4;3;4;3;4;4;4;3;3;4;4;3;4;3;3;4;4;4;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,3,215,212,4,1;2;3;4,0,0,0,28,4.0,0.11151517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,4,211,208,4,1;2;3;4,0,0,0,28,4.0,0.1127023,0.04601776,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,5,207,206,2,1;2,0,28,0,0,2.0,0.15917823,0.0313614,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,6,205,154,52,1;2;3;4,0,0,0,28,4.0,0.11979066,0.05066783,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,7,153,125,29,1;2;3;4,1,0,0,27,3.9,0.13132584,0.05108975,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,8,124,0,125,1;2;3;4,1,0,0,27,3.9,0.12809027,0.0524803,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,0,249,248,2,1;2,0,28,0,0,2.0,0.27889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,1,247,221,27,1;2;3;4,0,0,0,28,4.0,0.17372711,0.03923026,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,2,220,216,5,1;2;3;4,0,0,11,17,3.6,0.23750313,0.03422063,3;3;4;4;3;3;4;4;3;4;3;4;4;4;3;3;4;4;3;4;3;3;4;4;4;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,3,215,212,4,1;2;3;4,0,0,0,28,4.0,0.17401517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,4,211,208,4,1;2;3;4,0,0,0,28,4.0,0.1752023,0.04601776,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,5,207,206,2,1;2,0,28,0,0,2.0,0.28417823,0.0313614,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,6,205,154,52,1;2;3;4,0,0,0,28,4.0,0.18229066,0.05066783,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,7,153,125,29,1;2;3;4,0,0,0,28,4.0,0.2003938,0.05132992,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,8,124,0,125,1;2;3;4,0,0,0,28,4.0,0.19324318,0.05541816,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,1,247,221,27,1;2;3;4,0,0,0,28,4.0,0.30335674,0.03923026,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,2,220,216,5,1;2;3;4,0,0,11,17,3.6,0.43750313,0.03422063,3;3;4;4;3;3;4;4;3;4;3;4;4;4;3;3;4;4;3;4;3;3;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,3,215,212,4,1;2;3;4,0,0,0,28,4.0,0.29901517,0.04459963,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,4,211,208,4,1;2;3;4,0,0,0,28,4.0,0.3002023,0.04601776,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,5,207,206,2,1;2,0,28,0,0,2.0,0.53417823,0.0313614,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,6,205,154,52,1;2;3;4,0,0,0,28,4.0,0.30729066,0.05066783,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,7,153,125,29,1;2;3;4,0,0,0,28,4.0,0.33832484,0.05132992,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,8,124,0,125,1;2;3;4,0,0,0,28,4.0,0.32124318,0.05541816,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,0,249,248,2,1;2,0,28,0,0,2.0,0.15389524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,1,247,218,30,1;2;3;4,0,0,0,28,4.0,0.11057244,0.03906791,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,2,217,216,2,1;2,0,28,0,0,2.0,0.1574234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,3,215,209,7,1;2;3;4,0,0,0,28,4.0,0.11852567,0.04288768,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,4,208,179,30,1;2;3;4,0,0,0,28,4.0,0.11990129,0.04835817,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,5,178,126,53,1;2;3;4,1,0,0,27,3.9,0.12721009,0.05141308,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,6,125,2,124,1;2;3;4,1,0,0,27,3.9,0.12712449,0.05292422,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,7,1,0,2,1;2,5,23,0,0,1.8,0.18064857,0.04471701,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,0,249,248,2,1;2,0,28,0,0,2.0,0.27889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,1,247,218,30,1;2;3;4,0,0,0,28,4.0,0.17723911,0.03906791,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,2,217,216,2,1;2,0,28,0,0,2.0,0.2824234,0.0302078,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,3,215,209,7,1;2;3;4,0,0,0,28,4.0,0.18995425,0.04288768,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,4,208,179,30,1;2;3;4,0,0,0,28,4.0,0.18656796,0.04835817,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,5,178,126,53,1;2;3;4,0,0,0,28,4.0,0.19325585,0.05143226,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,6,125,2,124,1;2;3;4,0,0,0,28,4.0,0.19077297,0.05584645,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,7,1,0,2,1;2,1,27,0,0,2.0,0.31801461,0.06845566,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2
