run,K,sw,lambda,T,B,Z,zone_len_min,zone_len_max,zone_len_mean,change_points_count,merged_zones_count,total_F,total_R,F_ratio,F_mean_per_block,F_std_per_block,R_mean_per_block,cost_mean_per_block,cost_std_per_block,cost_sum_all_blocks,k_mean,k1_count,k2_count,k3_count,k4_count,I_cut_mean,I_cut_std,I_l1cos_mean,I_l1cos_std,Delta_abs_mean,Delta_abs_max
sweep_K10_sw2_lam0.25_kmax4,10,2,0.25,250,28,9,2,125,27.77777777777778,10,9,1962,5038,0.2803,70.07,21.155763,179.93,1.162913,0.36948,32.561567,3.488095,2,56,11,183,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K10_sw2_lam0.5_kmax4,10,2,0.5,250,28,9,2,125,27.77777777777778,10,9,1848,5152,0.264,66.0,0.0,184.0,1.899449,0.37209,53.184567,3.511905,0,56,11,185,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K10_sw2_lam1.0_kmax4,10,2,1.0,250,28,9,2,125,27.77777777777778,10,9,1848,5152,0.264,66.0,0.0,184.0,3.370009,0.37209,94.360265,3.511905,0,56,11,185,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0021406074838330033,0.08546559990014893
sweep_K10_sw3_lam0.25_kmax4,10,3,0.25,250,28,8,2,124,31.25,10,8,1985,5015,0.2836,70.89,24.656699,179.11,1.095301,0.326368,30.668434,3.200893,7,79,0,138,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K10_sw3_lam0.5_kmax4,10,3,0.5,250,28,8,2,124,31.25,10,8,1849,5151,0.2641,66.04,0.185577,183.96,1.817123,0.344764,50.879455,3.245536,1,83,0,140,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K10_sw3_lam1.0_kmax4,10,3,1.0,250,28,8,2,124,31.25,10,8,1848,5152,0.264,66.0,0.0,184.0,3.240626,0.362335,90.737538,3.25,0,84,0,140,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0018107584533293816,0.08188251430964658
sweep_K10_sw5_lam0.25_kmax4,10,5,0.25,250,28,7,2,124,35.714285714285715,10,7,1891,5109,0.2701,67.54,17.605766,182.46,0.894559,0.297398,25.047652,3.52551,2,32,23,139,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K10_sw5_lam0.5_kmax4,10,5,0.5,250,28,7,2,124,35.714285714285715,10,7,1793,5207,0.2561,64.04,0.185577,185.96,1.444383,0.312665,40.442735,3.566327,0,29,27,140,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K10_sw5_lam1.0_kmax4,10,5,1.0,250,28,7,2,124,35.714285714285715,10,7,1792,5208,0.256,64.0,0.0,186.0,2.527873,0.324175,70.780439,3.571429,0,28,28,140,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.001520954782843592,0.04922228217101873
sweep_K10_sw9_lam0.25_kmax4,10,9,0.25,250,28,5,2,241,50.0,10,5,2007,4993,0.2867,71.68,33.934868,178.32,0.748155,0.184956,20.948342,2.528571,3,87,23,27,0.22654899340171636,0.07212749559352427,0.09387796406793612,0.049339878286050555,0.0013541131537287622,0.027420949779463494
