run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,0,block_0,67,183,0.268,0.94202381,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,1,block_1,67,183,0.268,1.10010329,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,2,block_2,67,183,0.268,2.00688221,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,3,block_3,67,183,0.268,2.23337422,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,4,block_4,67,183,0.268,1.18654467,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,5,block_5,67,183,0.268,1.39173903,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,6,block_6,67,183,0.268,2.55589245,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,7,block_7,67,183,0.268,1.12838337,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,8,block_8,67,183,0.268,1.35285547,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,9,block_9,67,183,0.268,1.43858632,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,10,block_10,67,183,0.268,1.03647144,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,11,block_11,67,183,0.268,1.28367029,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,12,block_12,67,183,0.268,1.31086527,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,13,block_13,67,183,0.268,1.67320942,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,14,block_14,67,183,0.268,1.252031,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,15,block_15,67,183,0.268,0.9602829,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,16,block_16,67,183,0.268,1.65137804,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,17,block_17,67,183,0.268,1.05117262,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,18,block_18,67,183,0.268,1.20364596,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,19,block_19,67,183,0.268,1.81098764,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,20,block_20,67,183,0.268,1.07359961,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,21,block_21,67,183,0.268,1.1376547,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,22,block_22,67,183,0.268,0.9766164,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,23,block_23,68,182,0.272,2.15620365,2;4;3;2;4;4;4;4;4;4;1
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,24,block_24,68,182,0.272,1.91463523,2;4;3;2;4;4;4;4;4;4;1
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,25,block_25,68,182,0.272,1.67683254,2;4;3;2;4;4;4;4;4;4;1
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,26,block_26,184,66,0.736,2.45003194,2;4;4;2;4;4;3;1;1;1;1
sweep_K15_sw3_lam0.25_kmax4,15,3,0.25,27,block_27,68,182,0.272,1.78821892,2;4;3;2;4;4;4;4;4;4;1
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,0,block_0,67,183,0.268,1.88404762,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,1,block_1,67,183,0.268,2.0421271,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,2,block_2,67,183,0.268,2.94890601,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,3,block_3,67,183,0.268,3.17539803,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,4,block_4,67,183,0.268,2.12856848,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,5,block_5,67,183,0.268,2.33376284,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,6,block_6,67,183,0.268,3.49791626,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,7,block_7,67,183,0.268,2.07040718,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,8,block_8,67,183,0.268,2.29487928,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,9,block_9,67,183,0.268,2.38061013,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,10,block_10,67,183,0.268,1.97849525,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,11,block_11,67,183,0.268,2.2256941,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,12,block_12,67,183,0.268,2.25288908,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,13,block_13,67,183,0.268,2.61523323,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,14,block_14,67,183,0.268,2.19405481,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,15,block_15,67,183,0.268,1.90230671,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,16,block_16,67,183,0.268,2.59340185,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,17,block_17,67,183,0.268,1.99319643,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,18,block_18,67,183,0.268,2.14566977,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,19,block_19,67,183,0.268,2.75301145,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,20,block_20,67,183,0.268,2.01562342,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,21,block_21,67,183,0.268,2.07967851,2;4;4;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,22,block_22,67,183,0.268,1.91864021,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,23,block_23,67,183,0.268,3.12216464,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,24,block_24,67,183,0.268,2.88370435,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,25,block_25,67,183,0.268,2.70923594,2;4;3;2;4;4;4;4;4;4;2
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,26,block_26,68,182,0.272,3.55853314,2;4;4;2;4;4;4;4;4;4;1
sweep_K15_sw3_lam0.5_kmax4,15,3,0.5,27,block_27,67,183,0.268,2.81012975,2;4;3;2;4;4;4;4;4;4;2
