run,K,sw,lambda,block_id,block_name,num_F,num_R,F_ratio_block,total_cost_J_sum_zones,k_per_zone
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,0,block_0,67,183,0.268,4.37887955,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,1,block_1,67,183,0.268,4.58686214,2;4;4;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,2,block_2,67,183,0.268,5.76140126,2;4;4;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,3,block_3,67,183,0.268,6.07829616,2;4;4;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,4,block_4,67,183,0.268,4.70078606,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,5,block_5,67,183,0.268,4.9680636,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,6,block_6,67,183,0.268,6.5528769,2;4;4;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,7,block_7,67,183,0.268,4.61666472,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,8,block_8,67,183,0.268,4.90287158,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,9,block_9,67,183,0.268,5.01725002,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,10,block_10,67,183,0.268,4.50015407,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,11,block_11,67,183,0.268,4.81216289,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,12,block_12,67,183,0.268,4.84500781,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,13,block_13,67,183,0.268,5.29911212,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,14,block_14,67,183,0.268,4.77191889,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,15,block_15,67,183,0.268,4.4017599,2;4;4;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,16,block_16,67,183,0.268,5.27919639,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,17,block_17,67,183,0.268,4.51603121,2;4;4;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,18,block_18,67,183,0.268,4.71426686,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,19,block_19,67,183,0.268,5.49709798,2;4;3;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,20,block_20,67,183,0.268,4.5448511,2;4;4;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,21,block_21,67,183,0.268,4.62340326,2;4;3;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,22,block_22,67,183,0.268,4.42250628,2;4;4;3;3;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,23,block_23,67,183,0.268,6.00042936,2;4;4;3;4;4;4;3;4;4;4;4;4;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,24,block_24,67,183,0.268,5.65915944,2;4;3;3;4;4;4;3;4;4;4;4;4;3
