run,K,sw,lambda,zone_id,t_start,t_end,length,candidate_k,k1_count,k2_count,k3_count,k4_count,selected_k_mean,selected_J_mean,selected_J_std,selected_k_per_block
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,0,249,248,2,1;2,0,28,0,0,2.0,0.52889524,0.02583041,2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,1,247,224,24,1;2;3;4,0,0,0,28,4.0,0.29444,0.03947475,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,2,223,218,6,1;2;3;4,0,0,19,9,3.3,0.37469184,0.03736723,3;4;4;4;3;3;4;3;3;3;3;3;3;3;3;4;3;4;3;3;4;3;4;4;3;3;3;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,3,217,215,3,1;2;3,0,0,28,0,3.0,0.37703227,0.04008746,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,4,214,210,5,1;2;3;4,0,0,13,15,3.5,0.4392215,0.03577656,3;4;3;3;3;4;4;4;3;3;4;4;3;4;3;4;4;4;3;3;4;4;3;4;4;3;3;4
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,5,209,203,7,1;2;3;4,0,0,0,28,4.0,0.33497832,0.04530373,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,6,202,199,4,1;2;3;4,0,0,0,28,4.0,0.30277967,0.04852665,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,7,198,196,3,1;2;3,0,0,28,0,3.0,0.38120601,0.04419306,3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,8,195,179,17,1;2;3;4,0,0,0,28,4.0,0.34659673,0.04735999,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
baseline_p1_K20_sw5_lam1.0_kmax4,20,5,1.0,9,178,154,25,1;2;3;4,0,0,0,28,4.0,0.33746866,0.04970243,4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
